Collab,Article,laureate
gordon tullock,reviews,james m buchanan
robert tollison,reviews,james m buchanan
barry baysinger,reviews,james m buchanan
richard carter,reviews,james m buchanan
roger faith,towards a theory of yes-no voting,james m buchanan
antonio barbosa,convexity constraints in public goods theory,james m buchanan
robert m solow,politics and markets: the world’s political economic systems,james m buchanan
daniel fusfeld,politics and markets: the world’s political economic systems,james m buchanan
roger congleton,proportional and progressive income taxation with utility-maximizing governments,james m buchanan
barry keating,reviews,james m buchanan
gordon tullock,the expanding public sector: wagner squared,james m buchanan
bruno frey,book reviews,james m buchanan
john harsanyi,book reviews,james m buchanan
eric uslaner,book reviews,james m buchanan
jeffrey richelson,book reviews,james m buchanan
nicholas z muller,book reviews,james m buchanan
harold hochman,book reviews,james m buchanan
warren samuels,on some fundamental issues in political economy: an exchange of correspondence,james m buchanan
winston bush,anarchism,james m buchanan
winston bush,reviews,james m buchanan
louis alessi,reviews,james m buchanan
warren samuels,reviews,james m buchanan
robert wallace,reviews,james m buchanan
mark pauly,reviews,james m buchanan
richard wagner,review,james m buchanan
francesco forte,the evaluation of public services,james m buchanan
gregory jackson,shareholder rights in european corporations: impact on economic performance,robert solow
margaret luke,shareholder rights in european corporations: impact on economic performance,robert solow
jean-paul fitoussi,shareholder rights in european corporations: impact on economic performance,robert solow
william barnett,an interview with franco modigliani,robert solow
f modigliani,an economist’s manifesto on unemployment in the european union,robert solow
f modigliani,an economists' manifesto on unemployment in the european union,robert solow
edmond malinvaud,pour l'emploi et la cohésion sociale,robert solow
j fleming,pour l'emploi et la cohésion sociale,robert solow
edmund phelps,pour l'emploi et la cohésion sociale,robert solow
tony atkinson,pour l'emploi et la cohésion sociale,robert solow
oliver jean blanchard,pour l'emploi et la cohésion sociale,robert solow
jean-paul fitoussi,pour l'emploi et la cohésion sociale,robert solow
edmond malinvaud,taux d'intérêt et chômage,robert solow
j fleming,taux d'intérêt et chômage,robert solow
edmund phelps,taux d'intérêt et chômage,robert solow
tony atkinson,taux d'intérêt et chômage,robert solow
oliver jean blanchard,taux d'intérêt et chômage,robert solow
jean-paul fitoussi,taux d'intérêt et chômage,robert solow
edmond malinvaud,competitive disinflation: the mark and budgetary politics in europe,robert solow
j fleming,competitive disinflation: the mark and budgetary politics in europe,robert solow
edmund phelps,competitive disinflation: the mark and budgetary politics in europe,robert solow
tony atkinson,competitive disinflation: the mark and budgetary politics in europe,robert solow
oliver jean blanchard,competitive disinflation: the mark and budgetary politics in europe,robert solow
jean-paul fitoussi,competitive disinflation: the mark and budgetary politics in europe,robert solow
edmond malinvaud,"la désinflation compétitive, le mark et les politiques budgétaires en europe",robert solow
j fleming,"la désinflation compétitive, le mark et les politiques budgétaires en europe",robert solow
edmund phelps,"la désinflation compétitive, le mark et les politiques budgétaires en europe",robert solow
tony atkinson,"la désinflation compétitive, le mark et les politiques budgétaires en europe",robert solow
oliver jean blanchard,"la désinflation compétitive, le mark et les politiques budgétaires en europe",robert solow
jean-paul fitoussi,"la désinflation compétitive, le mark et les politiques budgétaires en europe",robert solow
f fisher,aggregate production functions: some ces xperiments,robert solow
j kearl,aggregate production functions: some ces xperiments,robert solow
franklin fisher,aggregate production functions: some ces experiments,robert solow
james kearl,aggregate production functions: some ces experiments,robert solow
james robins,a model of fixed capital without substitution,robert solow
kenneth j arrow,100 years of the american economic review : the top 20 articles,robert solow
gordon berlin,"get the question right, then choose the method",robert solow
paul a samuelson,a tribute to richard abel musgrave,robert solow
martin baily,international productivity comparisons built from the firm level,robert solow
paul a samuelson,samuelson's economics at fifty: remarks on the occasion of the anniversary of publication,robert solow
f modigliani,black monday in retrospect and prospect: a roundtable,robert solow
ian mcdonald,wages and employment in a segmented labor market,robert solow
frédéric samama,extraction costs in the theory of exhaustible resources,robert solow
allan gruchy,what’s wrong with economics?,robert solow
siegfried karsten,what’s wrong with economics?,robert solow
oskar morgenstern,what’s wrong with economics?,robert solow
j e stiglitz,reply,robert solow
j e stiglitz,"output, employment, and wages in the short run",robert solow
j tobin,neoclassical growth with fixed factor proportions,robert solow
paul a samuelson,a complete capital model involving heterogeneous capital goods,robert solow
s gerber,proofs that the gerber statistic is positive semidefinite,harry markowitz
p ernst,proofs that the gerber statistic is positive semidefinite,harry markowitz
y miao,proofs that the gerber statistic is positive semidefinite,harry markowitz
b javid,proofs that the gerber statistic is positive semidefinite,harry markowitz
p sargen,proofs that the gerber statistic is positive semidefinite,harry markowitz
joseph blasi,risk and lack of diversification under employee ownership and shared capitalism,harry markowitz
douglas kruse,risk and lack of diversification under employee ownership and shared capitalism,harry markowitz
j guerard,a further analysis of robust regression modeling and data mining corrections testing in global stocks,harry markowitz
ganlin xu,a further analysis of robust regression modeling and data mining corrections testing in global stocks,harry markowitz
